customer_id,age,gender,location,income_bracket,total_purchases,avg_purchase_value,purchase_frequency,last_purchase_date,preferred_payment,frequent_categories,premium_product_affinity,brand_loyalty_score,website_visits_30d,avg_session_duration,cart_abandonment_rate,email_engagement_rate,customer_lifetime_value,churn_risk_score,satisfaction_score,promotion_response_rate,discount_sensitivity
CUST000140,20,M,Philadelphia,Low,7,135.91,1.43,2023-12-28,Credit Card,"['Beauty', 'Food']",0.412,0.398,9,5.56,0.358,0.439,1342.94,0.479,3.82,0.245,0.706
CUST000141,37,M,New York,Low,7,52.47,0.86,2023-12-01,Debit Card,['Food'],0.067,0.455,23,2.62,0.592,0.089,391.99,0.162,3.3,0.364,0.484
CUST000142,50,F,Houston,Low,11,99.14,1.17,2024-01-10,Debit Card,"['Books', 'Clothing']",0.46,0.837,1,1.82,0.66,0.316,1592.24,0.524,3.87,0.427,0.339
CUST000143,18,M,New York,Low,4,99.94,2.85,2023-12-21,Bank Transfer,['Clothing'],0.129,0.655,15,6.18,0.7,0.205,451.4,0.268,4.26,0.475,0.582
CUST000144,37,F,Los Angeles,High,8,98.84,1.47,2023-10-30,Bank Transfer,"['Beauty', 'Clothing', 'Books']",0.409,0.891,9,1.31,0.208,0.317,1114.07,0.346,4.13,0.672,0.434
CUST000145,38,Other,Phoenix,Low,7,50.23,0.66,2024-01-08,Credit Card,"['Electronics', 'Home & Garden']",0.372,0.555,7,3.24,0.154,0.619,482.48,0.037,4.22,0.53,0.414
CUST000146,44,M,San Diego,Medium,14,22.08,0.35,2023-11-27,Bank Transfer,"['Electronics', 'Books']",0.174,0.795,1,6.71,0.527,0.126,362.94,0.123,4.13,0.618,0.385
CUST000147,20,F,San Diego,Low,7,131.33,0.72,2024-01-03,Credit Card,"['Home & Garden', 'Books', 'Sports']",0.478,0.153,3,3.45,0.547,0.541,1358.56,0.023,4.36,0.314,0.805
CUST000148,19,M,Chicago,Low,7,82.21,0.36,2024-01-14,Credit Card,['Food'],0.23,0.508,3,2.6,0.392,0.172,707.58,0.167,3.87,0.317,0.512
CUST000149,41,F,Houston,Medium,8,109.6,0.91,2023-10-20,Bank Transfer,"['Beauty', 'Food']",0.389,0.62,16,6.77,0.082,0.635,1218.07,0.1,4.05,0.145,0.454
CUST000150,38,M,San Jose,Medium,4,169.56,0.92,2023-10-31,Debit Card,"['Sports', 'Clothing']",0.457,0.742,12,3.59,0.511,0.426,988.07,0.347,4.65,0.61,0.483
CUST000151,38,F,Philadelphia,Low,3,110.32,0.21,2023-11-17,Credit Card,['Sports'],0.485,0.261,1,11.03,0.355,0.459,491.62,0.085,4.4,0.515,0.663
CUST000152,39,F,San Jose,Low,4,52.02,0.9,2024-01-14,Debit Card,"['Electronics', 'Home & Garden']",0.355,0.782,25,10.48,0.268,0.138,281.94,0.399,3.37,0.325,0.448
CUST000153,26,F,Chicago,Medium,10,84.34,2.29,2023-12-08,Debit Card,"['Food', 'Electronics']",0.507,0.491,8,2.48,0.604,0.021,1270.7,0.256,3.6,0.54,0.252
CUST000154,37,F,Los Angeles,Low,8,86.75,0.87,2023-11-06,Credit Card,"['Sports', 'Beauty', 'Electronics']",0.179,0.855,19,7.0,0.659,0.344,818.42,0.081,3.36,0.601,0.639
CUST000155,38,F,Philadelphia,Low,4,158.86,0.6,2023-11-24,PayPal,['Sports'],0.511,0.924,2,2.51,0.175,0.631,960.34,0.634,3.9,0.508,0.405
CUST000156,26,F,Phoenix,High,7,40.14,1.39,2023-12-21,Credit Card,"['Sports', 'Books']",0.257,0.243,2,0.39,0.082,0.282,353.21,0.344,2.36,0.214,0.918
CUST000157,57,F,San Jose,Medium,8,111.66,0.73,2023-12-02,PayPal,"['Food', 'Beauty']",0.132,0.613,12,2.69,0.602,0.239,1010.91,0.089,4.3,0.276,0.655
CUST000158,40,F,Phoenix,Medium,9,56.07,0.78,2024-01-09,Credit Card,"['Beauty', 'Electronics', 'Sports']",0.132,0.388,16,3.72,0.467,0.216,571.21,0.311,3.53,0.768,0.394
CUST000159,20,M,San Jose,Medium,11,72.07,1.76,2024-01-16,Credit Card,"['Home & Garden', 'Clothing']",0.221,0.44,13,7.45,0.555,0.608,968.33,0.166,3.11,0.344,0.574
CUST000160,42,F,Phoenix,Medium,2,129.93,0.38,2023-11-12,Debit Card,"['Books', 'Home & Garden', 'Sports']",0.57,0.907,16,1.52,0.226,0.191,408.05,0.225,5.0,0.302,0.589
CUST000161,23,F,San Jose,Medium,9,102.67,1.56,2023-12-01,Debit Card,"['Electronics', 'Sports']",0.181,0.517,5,8.62,0.259,0.537,1090.93,0.4,3.64,0.189,0.389
CUST000162,44,F,Phoenix,Medium,12,93.48,0.2,2023-11-10,Bank Transfer,"['Home & Garden', 'Beauty', 'Electronics']",0.097,0.813,9,8.03,0.575,0.423,1231.13,0.175,3.14,0.381,0.671
CUST000163,48,M,Chicago,Medium,7,84.14,3.06,2023-11-05,Debit Card,['Electronics'],0.417,0.438,6,0.84,0.514,0.686,834.74,0.209,3.71,0.863,0.481
CUST000164,25,F,San Antonio,Low,5,128.57,0.39,2023-12-21,Debit Card,['Sports'],0.387,0.556,1,1.43,0.267,0.542,891.92,0.531,4.79,0.35,0.39
CUST000165,46,M,Philadelphia,Medium,3,78.19,0.89,2023-10-31,Debit Card,"['Electronics', 'Sports']",0.312,0.553,7,1.96,0.434,0.25,307.78,0.299,2.33,0.227,0.579
CUST000166,39,F,Houston,Medium,6,70.7,2.06,2024-01-04,Debit Card,"['Home & Garden', 'Books']",0.13,0.531,3,10.26,0.63,0.441,479.26,0.067,4.5,0.52,0.673
CUST000167,44,M,Los Angeles,High,6,138.44,0.21,2023-12-03,Bank Transfer,"['Sports', 'Food', 'Beauty']",0.185,0.596,4,1.8,0.257,0.663,984.67,0.298,3.11,0.603,0.69
CUST000168,57,F,Dallas,Medium,5,21.86,0.55,2023-10-23,Debit Card,"['Home & Garden', 'Clothing', 'Beauty']",0.288,0.115,8,2.74,0.568,0.547,140.76,0.107,4.23,0.206,0.312
CUST000169,32,Other,New York,Medium,3,55.24,1.48,2024-01-05,PayPal,['Home & Garden'],0.359,0.845,4,0.44,0.533,0.539,225.14,0.431,3.44,0.855,0.467
CUST000170,25,M,Houston,Low,3,65.48,0.14,2024-01-02,PayPal,"['Beauty', 'Electronics']",0.314,0.643,8,4.48,0.501,0.578,258.17,0.457,4.01,0.745,0.186
CUST000171,24,Other,New York,Medium,5,142.57,1.19,2023-12-09,Bank Transfer,"['Food', 'Sports', 'Home & Garden']",0.233,0.351,2,1.26,0.205,0.532,878.97,0.059,3.75,0.417,0.249
CUST000172,25,M,Philadelphia,Low,5,100.22,1.06,2023-11-07,Debit Card,['Books'],0.51,0.648,6,7.11,0.379,0.232,756.6,0.307,4.16,0.168,0.662
CUST000173,34,F,Houston,Medium,4,53.37,0.12,2023-10-29,PayPal,['Beauty'],0.315,0.508,6,4.5,0.134,0.722,280.67,0.112,4.29,0.523,0.476
CUST000174,39,F,Phoenix,Low,5,51.42,0.1,2023-12-19,Credit Card,"['Food', 'Electronics', 'Home & Garden']",0.278,0.632,3,5.38,0.18,0.295,328.46,0.226,4.25,0.809,0.504
CUST000175,38,F,Phoenix,Medium,14,144.34,0.08,2023-10-29,PayPal,"['Food', 'Electronics']",0.451,0.681,10,2.82,0.57,0.263,2932.82,0.23,3.63,0.865,0.402
CUST000176,44,F,Dallas,Low,3,51.5,1.03,2023-11-14,Debit Card,['Sports'],0.425,0.464,4,2.24,0.794,0.493,220.24,0.444,4.13,0.052,0.343
CUST000177,35,F,New York,Medium,2,69.37,0.44,2023-11-21,PayPal,"['Clothing', 'Books', 'Beauty']",0.257,0.349,3,2.78,0.164,0.538,174.42,0.197,4.46,0.634,0.341
CUST000178,52,M,Los Angeles,High,6,77.09,0.19,2023-10-22,Credit Card,['Clothing'],0.204,0.277,2,1.55,0.272,0.564,556.87,0.378,3.88,0.491,0.617
CUST000179,31,M,Philadelphia,Low,8,116.85,1.64,2023-12-01,PayPal,"['Clothing', 'Sports']",0.231,0.383,9,1.83,0.822,0.221,1150.69,0.213,4.08,0.507,0.504
CUST000180,67,F,Phoenix,Medium,5,73.98,2.16,2023-11-30,Debit Card,"['Home & Garden', 'Food', 'Books']",0.64,0.704,14,3.59,0.55,0.671,606.73,0.199,3.43,0.435,0.437
CUST000181,42,F,San Antonio,Medium,6,47.46,2.07,2023-10-21,Credit Card,"['Food', 'Beauty']",0.363,0.904,1,3.92,0.583,0.417,388.17,0.037,4.14,0.388,0.372
CUST000182,24,F,Chicago,Low,6,121.3,0.89,2024-01-16,Bank Transfer,"['Books', 'Clothing']",0.205,0.269,7,2.59,0.563,0.127,877.04,0.255,3.68,0.396,0.401
CUST000183,22,F,Chicago,Medium,6,120.16,0.1,2023-10-21,Credit Card,['Electronics'],0.37,0.696,3,2.03,0.171,0.466,987.66,0.376,3.9,0.481,0.814
CUST000184,40,M,San Jose,Low,5,178.0,0.18,2024-01-04,PayPal,"['Electronics', 'Food']",0.462,0.484,14,5.77,0.376,0.795,1301.36,0.27,3.99,0.477,0.448
CUST000185,32,F,Los Angeles,Medium,10,104.4,0.29,2024-01-01,Bank Transfer,['Beauty'],0.142,0.485,9,2.07,0.49,0.505,1191.8,0.307,4.1,0.442,0.856
CUST000186,43,M,Chicago,Medium,5,50.42,0.47,2023-12-18,Credit Card,"['Clothing', 'Electronics', 'Books']",0.335,0.502,1,13.87,0.26,0.852,336.57,0.177,3.79,0.35,0.384
CUST000187,40,F,San Jose,Medium,6,174.25,2.04,2024-01-08,Credit Card,"['Sports', 'Home & Garden', 'Clothing']",0.543,0.59,3,0.82,0.23,0.168,1613.19,0.157,4.83,0.4,0.577
CUST000188,34,M,New York,Medium,9,76.96,1.09,2023-11-09,Credit Card,['Beauty'],0.421,0.734,2,1.45,0.167,0.199,984.53,0.367,3.52,0.605,0.722
CUST000189,24,M,Phoenix,Low,1,133.55,0.85,2023-10-21,Debit Card,['Sports'],0.494,0.489,7,2.01,0.627,0.49,199.48,0.21,3.2,0.814,0.681
CUST000190,18,M,Phoenix,Low,5,171.59,0.92,2023-12-12,Bank Transfer,['Home & Garden'],0.517,0.897,8,3.69,0.283,0.407,1301.84,0.52,3.36,0.529,0.748
CUST000191,29,M,San Antonio,Medium,8,96.89,1.58,2023-11-15,Bank Transfer,"['Books', 'Sports']",0.286,0.593,14,2.79,0.595,0.693,996.52,0.076,3.49,0.261,0.469
CUST000192,45,F,Houston,Medium,6,91.68,1.51,2023-12-19,Credit Card,"['Books', 'Home & Garden', 'Clothing']",0.266,0.459,8,3.35,0.569,0.306,696.23,0.203,4.0,0.818,0.519
CUST000193,37,M,Chicago,High,4,104.56,0.84,2023-12-15,Bank Transfer,"['Clothing', 'Books', 'Home & Garden']",0.447,0.759,6,3.01,0.641,0.315,605.28,0.288,4.9,0.841,0.828
CUST000194,20,M,New York,High,2,113.19,1.8,2023-12-31,PayPal,"['Electronics', 'Home & Garden']",0.225,0.446,6,11.17,0.125,0.543,277.25,0.145,4.19,0.449,0.401
CUST000195,37,M,San Diego,High,5,143.2,0.56,2023-10-22,PayPal,['Sports'],0.334,0.242,9,1.62,0.543,0.033,955.26,0.215,3.87,0.262,0.287
CUST000196,39,M,Chicago,Medium,6,85.83,1.44,2023-11-16,Credit Card,"['Books', 'Home & Garden', 'Electronics']",0.414,0.754,4,1.72,0.434,0.871,728.36,0.274,3.65,0.087,0.6
CUST000197,24,M,Los Angeles,Medium,10,94.79,1.77,2023-11-30,PayPal,"['Sports', 'Beauty']",0.286,0.919,7,3.87,0.25,0.26,1219.07,0.521,4.58,0.534,0.74
CUST000198,36,M,Houston,Medium,6,72.87,1.57,2023-11-23,Credit Card,['Beauty'],0.137,0.492,6,1.31,0.228,0.374,497.01,0.119,3.45,0.391,0.328
CUST000199,35,F,Chicago,Medium,2,72.7,0.34,2023-11-21,PayPal,"['Home & Garden', 'Beauty', 'Sports']",0.158,0.758,10,6.3,0.334,0.335,168.37,0.287,3.2,0.663,0.62
CUST000200,21,F,New York,Low,7,61.3,0.7,2023-12-22,Credit Card,['Beauty'],0.42,0.484,19,4.03,0.69,0.225,609.36,0.19,3.55,0.561,0.239
CUST000201,39,F,Chicago,High,5,75.17,0.13,2023-11-24,Credit Card,"['Sports', 'Electronics']",0.353,0.66,7,2.68,0.554,0.574,508.67,0.372,3.73,0.376,0.366
CUST000202,41,M,Los Angeles,High,8,57.79,0.24,2023-10-25,Bank Transfer,"['Books', 'Home & Garden', 'Clothing']",0.288,0.955,8,4.21,0.596,0.718,595.31,0.251,4.29,0.197,0.5
CUST000203,47,M,San Diego,Medium,8,135.9,0.66,2023-12-30,Bank Transfer,['Sports'],0.198,0.666,7,3.7,0.176,0.467,1302.92,0.251,4.4,0.877,0.789
CUST000204,47,F,Philadelphia,Low,4,123.15,0.88,2023-12-26,Credit Card,['Beauty'],0.235,0.787,9,1.93,0.184,0.26,608.27,0.299,4.26,0.502,0.637
CUST000205,18,F,Dallas,Medium,6,88.92,1.08,2023-12-02,Bank Transfer,['Books'],0.354,0.639,0,4.88,0.201,0.479,722.47,0.292,2.88,0.282,0.599
CUST000206,23,M,San Diego,High,5,103.34,0.23,2023-10-31,Bank Transfer,"['Sports', 'Electronics']",0.316,0.693,5,9.31,0.439,0.655,679.78,0.117,4.0,0.372,0.733
CUST000207,41,M,San Jose,High,12,61.34,0.74,2023-11-13,Debit Card,['Food'],0.392,0.442,2,3.37,0.514,0.255,1024.76,0.199,4.02,0.573,0.436
CUST000208,41,M,Chicago,Low,6,91.5,1.62,2023-11-28,PayPal,"['Books', 'Clothing', 'Home & Garden']",0.172,0.611,0,2.73,0.353,0.226,643.56,0.193,4.2,0.323,0.546
CUST000209,41,M,Phoenix,Low,3,151.69,0.99,2023-10-26,Bank Transfer,"['Home & Garden', 'Electronics', 'Sports']",0.2,0.619,11,1.42,0.121,0.314,546.27,0.455,3.24,0.744,0.67
CUST000210,80,M,San Antonio,High,5,149.4,1.23,2023-12-21,Credit Card,['Clothing'],0.078,0.626,9,1.3,0.819,0.442,805.58,0.086,3.78,0.56,0.802
CUST000211,41,F,Phoenix,Medium,7,179.58,0.88,2023-11-22,Debit Card,"['Books', 'Sports']",0.571,0.508,7,4.64,0.073,0.628,1974.53,0.077,3.77,0.557,0.302
CUST000212,48,F,San Diego,Medium,4,135.76,0.43,2023-11-21,Debit Card,"['Clothing', 'Sports', 'Electronics']",0.274,0.548,4,2.48,0.231,0.612,691.95,0.329,4.44,0.847,0.748
CUST000213,46,F,Phoenix,High,9,107.41,0.32,2024-01-03,Bank Transfer,"['Sports', 'Books', 'Beauty']",0.07,0.58,2,6.32,0.457,0.281,1034.18,0.039,4.01,0.191,0.43
CUST000214,42,F,New York,Low,3,132.62,0.7,2024-01-02,Credit Card,"['Home & Garden', 'Clothing', 'Electronics']",0.056,0.589,4,3.95,0.293,0.2,420.23,0.082,3.65,0.794,0.792
CUST000215,31,F,Phoenix,Medium,4,52.37,1.34,2023-12-02,Credit Card,['Clothing'],0.187,0.868,14,7.78,0.212,0.228,248.67,0.448,3.08,0.775,0.381
CUST000216,44,F,Houston,Low,12,128.24,0.38,2023-11-16,Credit Card,"['Electronics', 'Food', 'Clothing']",0.025,0.682,4,3.65,0.513,0.108,1576.63,0.143,3.31,0.198,0.666
CUST000217,25,F,Philadelphia,Medium,11,137.81,0.54,2024-01-06,Credit Card,['Sports'],0.651,0.423,17,3.67,0.186,0.532,2502.06,0.282,4.28,0.382,0.125
CUST000218,32,M,Chicago,High,1,90.81,0.84,2023-12-06,Credit Card,['Clothing'],0.108,0.782,5,1.4,0.416,0.239,100.63,0.297,2.88,0.248,0.542
CUST000219,29,M,Phoenix,Medium,5,95.38,2.44,2023-10-26,PayPal,['Home & Garden'],0.418,0.646,16,5.29,0.546,0.33,676.01,0.362,3.01,0.271,0.39
CUST000220,35,M,Los Angeles,High,5,82.31,1.05,2023-12-20,Credit Card,['Beauty'],0.281,0.78,2,0.7,0.217,0.442,527.09,0.104,4.37,0.843,0.237
CUST000221,62,F,Philadelphia,Medium,2,89.55,1.02,2023-11-30,Credit Card,['Electronics'],0.334,0.461,10,1.5,0.072,0.196,238.87,0.102,4.31,0.688,0.741
CUST000222,18,F,Philadelphia,Medium,7,100.6,0.61,2024-01-15,PayPal,"['Beauty', 'Sports', 'Clothing']",0.124,0.469,2,6.3,0.113,0.512,791.63,0.128,3.31,0.302,0.591
CUST000223,43,M,Phoenix,Low,8,105.27,2.5,2023-11-10,Bank Transfer,['Food'],0.488,0.657,7,2.05,0.67,0.773,1253.38,0.487,3.85,0.514,0.445
CUST000224,18,F,Philadelphia,Medium,7,61.81,0.9,2023-11-19,Debit Card,['Books'],0.153,0.439,12,2.28,0.19,0.652,499.0,0.209,4.72,0.499,0.276
CUST000225,29,M,San Antonio,Medium,9,67.11,1.67,2023-11-13,PayPal,['Electronics'],0.518,0.413,2,2.93,0.578,0.563,916.88,0.504,4.01,0.345,0.37
CUST000226,48,F,Phoenix,Low,9,123.2,0.32,2023-10-23,Debit Card,['Food'],0.496,0.829,4,8.51,0.242,0.299,1658.52,0.489,4.17,0.392,0.655
CUST000227,35,M,New York,Medium,4,109.63,0.76,2023-10-20,Debit Card,['Home & Garden'],0.27,0.518,11,4.35,0.221,0.618,557.01,0.629,4.74,0.265,0.836
CUST000228,22,M,San Diego,Medium,11,64.25,4.45,2023-12-23,PayPal,['Clothing'],0.332,0.43,9,3.79,0.674,0.069,941.46,0.107,4.9,0.698,0.732
CUST000229,26,F,Houston,Medium,4,87.72,0.91,2023-11-08,Credit Card,"['Sports', 'Clothing', 'Food']",0.481,0.808,12,5.67,0.165,0.581,519.64,0.147,4.0,0.853,0.207
CUST000230,43,M,Dallas,Medium,3,190.97,0.59,2023-11-05,Debit Card,['Beauty'],0.277,0.838,14,6.77,0.369,0.289,731.71,0.328,4.71,0.388,0.534
CUST000231,26,M,San Jose,Medium,1,29.63,1.71,2023-11-10,Credit Card,['Sports'],0.204,0.62,9,2.74,0.402,0.74,35.67,0.381,4.43,0.231,0.538
CUST000232,37,M,Philadelphia,Low,6,21.98,0.65,2023-12-02,Bank Transfer,"['Sports', 'Home & Garden', 'Clothing']",0.184,0.938,17,1.78,0.215,0.604,156.17,0.3,3.75,0.311,0.349
CUST000233,35,F,New York,Low,5,29.96,0.68,2023-11-03,PayPal,"['Books', 'Sports', 'Clothing']",0.401,0.79,13,5.99,0.409,0.707,209.86,0.462,4.18,0.303,0.792
CUST000234,27,F,Chicago,Medium,11,224.0,0.14,2023-12-07,Debit Card,"['Home & Garden', 'Beauty']",0.016,0.243,4,4.05,0.043,0.74,2503.84,0.15,3.09,0.66,0.403
CUST000235,60,M,Chicago,Medium,4,55.38,0.08,2023-12-18,Credit Card,"['Beauty', 'Books', 'Food']",0.116,0.942,6,1.35,0.451,0.594,247.16,0.23,4.28,0.81,0.715
CUST000236,42,F,San Jose,Low,1,80.24,1.12,2023-12-27,Debit Card,"['Books', 'Food', 'Clothing']",0.097,0.792,1,5.2,0.281,0.061,88.06,0.025,3.72,0.372,0.218
CUST000237,18,F,Houston,High,5,118.69,0.55,2024-01-01,Bank Transfer,['Clothing'],0.452,0.496,5,5.55,0.224,0.422,861.56,0.135,3.59,0.371,0.651
CUST000238,37,M,Philadelphia,Medium,7,115.22,1.28,2023-10-26,Bank Transfer,"['Food', 'Books']",0.242,0.433,6,5.11,0.548,0.109,1001.71,0.091,4.5,0.282,0.404
CUST000239,27,M,San Antonio,Medium,6,82.75,1.07,2023-12-29,Debit Card,['Books'],0.126,0.641,7,3.52,0.095,0.563,558.84,0.138,3.48,0.263,0.667
CUST000240,45,M,San Jose,Low,8,166.36,0.88,2024-01-10,PayPal,"['Electronics', 'Home & Garden']",0.34,0.284,0,0.73,0.593,0.233,1783.3,0.583,4.17,0.648,0.555
CUST000241,25,M,Houston,Medium,5,130.32,0.69,2023-11-30,Bank Transfer,['Books'],0.203,0.461,8,6.21,0.098,0.509,784.18,0.535,4.45,0.132,0.157
CUST000242,33,F,Philadelphia,Medium,5,68.59,0.4,2023-10-23,Credit Card,"['Food', 'Home & Garden', 'Clothing']",0.439,0.409,2,3.9,0.358,0.173,493.59,0.291,3.76,0.593,0.286
CUST000243,41,M,New York,Medium,4,56.71,0.37,2023-12-11,Bank Transfer,"['Food', 'Books', 'Beauty']",0.145,0.887,3,7.41,0.611,0.095,259.68,0.077,4.08,0.748,0.449
CUST000244,45,F,San Diego,Medium,7,99.85,0.2,2023-11-26,Credit Card,"['Electronics', 'Books']",0.099,0.351,7,3.72,0.392,0.113,768.14,0.25,3.61,0.463,0.228
CUST000245,20,F,San Antonio,High,9,133.09,0.81,2023-12-21,Debit Card,['Beauty'],0.334,0.542,10,4.27,0.273,0.166,1597.85,0.331,3.52,0.178,0.582
CUST000246,30,M,Dallas,Medium,7,192.97,2.44,2023-11-02,Credit Card,['Beauty'],0.23,0.542,12,6.94,0.062,0.759,1661.69,0.209,3.87,0.167,0.604
CUST000247,29,F,Chicago,Low,2,107.27,3.22,2023-12-20,Debit Card,"['Sports', 'Beauty', 'Books']",0.061,0.483,7,2.15,0.637,0.664,227.72,0.479,5.0,0.665,0.707
CUST000248,27,M,Los Angeles,Medium,6,78.6,0.39,2023-11-07,Bank Transfer,"['Food', 'Sports', 'Clothing']",0.332,0.802,14,1.78,0.45,0.717,628.34,0.378,4.89,0.074,0.406
CUST000249,56,Other,New York,Medium,4,159.8,1.54,2024-01-07,PayPal,"['Home & Garden', 'Food']",0.16,0.564,4,4.22,0.506,0.44,741.45,0.339,3.73,0.288,0.375
CUST000250,39,F,Chicago,Medium,4,150.13,2.02,2023-12-02,Bank Transfer,"['Sports', 'Books', 'Food']",0.228,0.379,1,0.79,0.707,0.184,737.26,0.236,3.92,0.894,0.101
CUST000251,19,F,Phoenix,Low,5,129.72,0.48,2023-12-04,Bank Transfer,"['Home & Garden', 'Books']",0.481,0.41,4,5.01,0.528,0.383,960.81,0.105,3.78,0.932,0.385
CUST000252,46,F,Los Angeles,Low,6,51.28,1.38,2023-12-31,Bank Transfer,"['Electronics', 'Home & Garden']",0.349,0.636,11,2.41,0.089,0.143,415.21,0.35,3.34,0.683,0.763
CUST000253,60,M,Chicago,High,6,80.49,1.81,2023-11-29,Bank Transfer,"['Sports', 'Home & Garden']",0.243,0.842,5,6.99,0.45,0.384,600.41,0.138,3.62,0.467,0.186
CUST000254,47,F,Houston,Medium,5,85.36,0.2,2023-10-21,PayPal,"['Beauty', 'Books']",0.389,0.848,4,1.72,0.25,0.219,592.63,0.336,3.75,0.644,0.551
CUST000255,18,F,San Antonio,High,4,129.75,1.16,2023-11-30,Bank Transfer,"['Electronics', 'Beauty', 'Home & Garden']",0.232,0.719,9,6.65,0.236,0.395,639.52,0.414,2.75,0.672,0.649
CUST000256,29,F,Chicago,Medium,5,35.15,0.32,2023-12-27,Credit Card,"['Beauty', 'Clothing']",0.065,0.633,10,2.38,0.185,0.548,187.24,0.151,3.84,0.532,0.337
CUST000257,50,F,Dallas,Medium,3,77.61,1.2,2023-12-04,PayPal,"['Sports', 'Electronics', 'Books']",0.186,0.755,9,0.26,0.302,0.48,276.08,0.478,4.35,0.729,0.182
CUST000258,26,F,San Diego,Medium,6,94.11,0.83,2023-11-18,PayPal,"['Clothing', 'Sports']",0.344,0.852,5,12.5,0.463,0.643,758.69,0.451,4.96,0.419,0.592
CUST000259,40,M,Houston,High,3,83.98,0.15,2023-12-28,Credit Card,"['Books', 'Electronics', 'Clothing']",0.133,0.639,6,1.71,0.151,0.351,285.31,0.179,4.26,0.45,0.364
CUST000260,44,M,New York,Medium,5,183.79,0.45,2023-11-08,Debit Card,"['Beauty', 'Home & Garden']",0.648,0.783,1,7.5,0.337,0.423,1513.97,0.256,3.54,0.822,0.562
CUST000261,23,F,New York,Medium,4,143.8,0.4,2023-11-18,Bank Transfer,"['Beauty', 'Clothing', 'Food']",0.25,0.397,3,1.08,0.221,0.132,719.09,0.296,3.5,0.344,0.232
CUST000262,34,M,New York,Low,4,143.63,1.76,2023-11-03,PayPal,['Sports'],0.064,0.721,3,7.82,0.242,0.484,611.45,0.255,3.96,0.475,0.593
CUST000263,18,F,New York,Medium,8,74.93,0.77,2023-12-13,Bank Transfer,"['Books', 'Beauty']",0.3,0.69,6,1.09,0.233,0.279,779.11,0.088,4.02,0.576,0.172
CUST000264,22,F,San Diego,Medium,7,101.04,0.37,2023-12-25,Bank Transfer,"['Electronics', 'Books']",0.467,0.856,6,2.61,0.586,0.623,1037.71,0.025,3.94,0.421,0.668
CUST000265,31,M,Chicago,Low,2,61.19,1.29,2023-12-17,Credit Card,['Beauty'],0.502,0.138,0,12.5,0.224,0.195,183.78,0.593,4.58,0.764,0.593
CUST000266,20,M,Philadelphia,Low,5,62.07,0.66,2023-11-20,Credit Card,['Books'],0.54,0.552,2,3.88,0.154,0.245,477.98,0.328,4.21,0.172,0.479
CUST000267,54,F,Chicago,Medium,4,144.39,0.97,2023-10-20,Credit Card,"['Electronics', 'Sports']",0.281,0.639,8,4.4,0.393,0.493,740.07,0.226,4.24,0.734,0.304
CUST000268,18,M,Phoenix,Low,2,133.69,0.73,2023-11-04,Bank Transfer,"['Books', 'Food', 'Home & Garden']",0.121,0.921,12,3.76,0.357,0.705,299.69,0.345,4.17,0.312,0.389
CUST000269,29,F,San Antonio,Low,13,59.09,3.15,2023-10-28,PayPal,"['Beauty', 'Electronics']",0.284,0.785,6,11.44,0.28,0.342,986.39,0.252,3.66,0.755,0.507
CUST000270,36,M,Los Angeles,Medium,1,98.08,0.96,2024-01-13,PayPal,"['Sports', 'Food', 'Books']",0.15,0.573,8,5.85,0.431,0.375,112.84,0.24,3.18,0.523,0.37
CUST000271,52,F,Philadelphia,High,4,43.13,1.4,2024-01-02,Debit Card,['Electronics'],0.093,0.316,3,1.9,0.447,0.174,188.51,0.265,3.93,0.374,0.43
CUST000272,18,M,Philadelphia,Medium,8,117.85,1.76,2024-01-07,Bank Transfer,"['Beauty', 'Clothing', 'Books']",0.132,0.52,19,1.67,0.104,0.14,1067.28,0.516,3.67,0.729,0.573
CUST000273,48,F,Chicago,Low,6,58.39,0.78,2023-12-14,Debit Card,"['Electronics', 'Books']",0.386,0.759,17,4.86,0.351,0.262,485.67,0.425,4.32,0.175,0.465
CUST000274,35,M,Philadelphia,Low,6,98.21,2.05,2023-11-04,Debit Card,['Clothing'],0.168,0.724,5,1.76,0.325,0.239,688.49,0.498,3.71,0.173,0.466
CUST000275,23,F,San Jose,Medium,13,190.26,1.55,2023-12-07,Debit Card,['Home & Garden'],0.205,0.343,6,0.65,0.282,0.476,2979.67,0.387,4.58,0.167,0.773
CUST000276,40,M,San Jose,Medium,9,54.83,0.09,2023-10-23,Debit Card,"['Food', 'Home & Garden']",0.382,0.472,5,1.62,0.052,0.388,681.99,0.096,4.32,0.514,0.352
CUST000277,37,F,Phoenix,High,9,109.14,0.43,2023-10-29,Debit Card,"['Home & Garden', 'Beauty']",0.107,0.561,14,9.72,0.037,0.679,1086.94,0.457,4.83,0.528,0.518
CUST000278,27,F,Los Angeles,Medium,3,91.76,0.79,2024-01-08,Bank Transfer,['Home & Garden'],0.213,0.905,7,3.66,0.257,0.064,333.89,0.386,4.79,0.094,0.491
CUST000279,35,M,Dallas,Medium,4,52.53,0.86,2023-10-28,Credit Card,"['Books', 'Food', 'Beauty']",0.27,0.336,17,6.09,0.259,0.319,266.75,0.169,4.37,0.841,0.633
CUST000280,30,M,San Diego,Low,6,66.21,0.49,2024-01-10,Debit Card,"['Home & Garden', 'Electronics', 'Food']",0.227,0.863,7,0.62,0.243,0.475,487.55,0.245,3.43,0.651,0.472
